X,Y
35.34463,118.9916
35.34303,118.9971
34.71777,117.4139
34.39961,116.7407
34.53766,116.8501
34.52563,116.804
34.46481,116.7197
34.34663,116.7306
34.39776,116.6877
34.2655,116.3711
34.31538,116.5255
34.36395,116.6446
34.33627,116.6802
34.37469,116.7467
35.78253,119.3105
35.54369,119.2168
35.59513,119.2151
35.5126,119.2632
35.49975,119.1337
35.48462,119.2356
35.44116,119.2666
35.26329,119.1308
35.17277,119.178
35.04488,119.1868
34.85564,119.0511
34.89068,119.1665
34.57341,118.8916
32.68747,118.4408
26.90885,115.8534
26.68029,115.6381
26.5005,115.2701
26.16869,115.0352
26.24562,115.0133
26.10178,114.9137
25.86671,114.5215
26.04414,114.6537
25.87325,114.5439
25.78648,114.6951
30.24306,116.5889
30.3623,116.6318
30.57424,116.8065
29.75611,116.5502
29.06464,116.5646
31.21318,120.0919
NaN,NaN
33.86313,119.554
31.69552,115.8055
31.84996,115.781
32.09476,115.9156
32.19878,115.9968
32.51554,116.1963
32.4164,116.1246
32.47714,116.1505
32.68972,116.3687
32.57413,116.2233
32.61078,116.2999
32.5911,116.3422
32.59239,116.4042
32.62625,116.5348
32.67876,116.453
32.66493,116.4899
32.67127,116.5265
32.67994,116.4304
32.62309,116.456
32.71165,116.5856
32.66781,116.6391
32.7609,116.7595
32.6781,116.5631
32.68456,116.6239
32.72921,116.6726
32.6503,116.5599
32.7179,116.7264
35.84852,117.5471
35.70318,117.3464
35.6936,117.3143
35.46113,117.1303
35.40224,117.1964
35.16122,117.1007
34.95343,117.0816
34.86282,117.0796
34.73576,117.1525
34.4567,117.0981
34.38258,117.2325
34.16613,116.9899
34.1968,117.1633
34.09505,117.1996
34.12522,117.2796
34.02316,117.2473
34.0802,117.424
34.01825,117.3584
32.71444,120.6015
31.36061,122.3333
30.786,122.156
30.68738,122.0855
30.61557,121.9535
30.43095,122.0003
30.50768,121.9941
30.60311,121.8806
30.68952,121.8725
30.87695,121.9506
31.32325,122.063
31.68755,122.1842
32.02861,122.1987
29.79971,117.3467
29.96597,117.3753
30.07121,117.1656
30.02882,116.8684
30.08549,116.9621
30.34827,117.0318
30.43021,116.8381
30.72617,116.7003
36.27523,119.5607
36.59329,119.6625
36.68631,119.6853
36.70678,119.4904
36.74725,119.5277
36.81197,119.5529
36.73824,119.227
36.86711,119.3227
36.92921,119.2811
36.90865,119.3461
36.93049,119.3177
36.97731,119.2458
37.08424,119.3412
37.17151,119.4119
37.03419,121.7808
36.38159,122.3703
36.39235,122.117
36.55396,122.0901
36.76389,122.1334
36.88885,121.9367
37.06833,121.918
37.92584,121.5041
37.82346,121.3542
37.85156,121.1801
37.87402,121.0124
37.7572,120.9619
