X,Y
NaN,NaN
NaN,NaN
255.8012,115.435
257.027,107.1378
262.4291,105.0026
265.6734,113.4691
268.2491,116.6545
268.5823,122.1755
268.5779,122.5961
269.7393,125.7088
268.4814,127.2098
262.6928,133.5316
207.7501,171.3072
202.9151,178.9043
206.6085,182.2796
208.1974,186.4192
208.5742,188.6017
211.5513,194.1343
211.8586,195.928
210.5069,199.4213
211.3215,201.7533
210.5643,206.2384
280.0592,230.7899
278.4135,237.9654
277.5182,238.0359
278.6154,238.642
276.4709,240.699
276.0852,241.4135
276.7104,242.1971
272.8451,242.1678
269.8303,238.6387
270.0868,241.1223
267.8582,240.6096
265.9186,238.7797
263.8907,239.7184
263.6202,238.03
263.052,240.3493
261.5422,239.4321
260.7567,243.3032
248.8862,224.5454
240.3833,178.4491
242.0866,184.4712
243.6223,185.2234
246.1754,187.5152
248.8605,186.4056
249.9143,189.0637
249.9908,188.1492
252.6313,188.9357
253.0962,189.7299
224.4973,170.1431
191.3967,147.5121
198.4609,148.7295
204.1939,149.7733
207.4608,153.2202
210.7417,156.0993
215.4075,161.0654
216.3845,164.4131
215.9847,170.4087
216.5951,172.0129
196.8763,183.196
182.5165,188.3634
182.4298,190.0338
184.6042,192.4649
184.5505,194.3759
186.4832,196.8771
184.9242,197.4628
180.4929,198.2556
168.631,189.47
167.9711,188.291
172.1149,189.6064
172.835,191.3425
173.1629,192.2957
174.0948,190.5693
175.0577,190.226
177.6848,191.3984
178.4447,191.0733
180.3481,192.2685
181.4721,190.6158
183.7031,192.883
186.2093,194.3181
275.3193,192.4365
281.4913,193.8102
281.9267,192.3918
285.0275,192.8208
285.4654,190.9636
289.0544,190.5549
287.9102,191.4697
291.9831,190.0333
291.3371,189.3088
291.8488,192.5001
250.6485,197.0389
183.2702,191.933
183.1899,195.1864
187.4277,195.1341
188.3623,196.3774
190.7741,197.8995
192.422,199.6495
192.7144,198.6902
193.7349,199.7415
195.4495,201.8112
197.4464,203.5788
200.4252,204.9887
203.4666,206.7849
206.2168,209.1937
207.8555,210.618
211.2957,208.3879
210.4912,210.9641
211.3165,210.279
213.7645,212.1086
213.6146,214.1474
212.4688,216.1174
213.8533,215.8249
214.5181,213.1337
216.5952,213.1032
214.864,213.3599
260.4318,231.4326
281.2286,261.5909
284.2738,259.7725
285.4702,257.1191
287.35,256.0982
286.46,254.2808
289.9404,252.4336
288.8417,253.1999
266.0438,233.7961
267.0927,227.4265
267.5968,227.8047
266.9526,229.2924
267.401,231.2457
266.8253,231.9501
266.8998,232.5192
268.2896,230.3152
264.924,234.3489
265.6154,235.9262
266.4117,234.2984
266.9873,233.8905
265.3157,230.5464
263.9526,234.5275
263.601,235.6774
264.2747,235.5233
264.0253,236.7003
264.2764,236.8018
263.7698,237.0724
263.2516,238.0457
264.3333,238.4446
264.0433,237.1812
265.1022,236.024
242.6698,228.1459
182.3031,200.0402
187.0972,196.8789
188.3664,193.4156
190.4284,193.8423
190.5707,194.5867
191.205,194.9269
192.0837,196.0276
191.7524,195.6357
193.7939,196.837
194.2497,195.84
195.4618,195.8943
194.9295,194.7142
195.527,195.3942
194.1001,196.7029
202.0872,197.6211
267.7954,215.9355
267.4006,218.5494
270.5498,215.5007
268.1285,217.075
271.6447,215.6361
272.5194,217.753
272.0474,216.7599
272.6318,220.1423
214.2709,329.3833
211.8856,338.8546
214.5732,333.313
220.2832,324.7352
218.3883,328.1285
222.0229,328.6583
221.4005,327.0079
223.8628,324.8194
222.2567,326.7831
219.5101,329.5089
223.3884,329.4033
224.1898,328.4887
222.4449,329.3201
207.7964,297.2081
210.1301,285.892
211.6252,283.5511
217.0198,279.6518
217.3755,276.7647
218.3746,278.9096
217.9579,277.9308
222.4895,277.0782
220.7375,277.4324
221.2565,275.7365
220.3495,275.7953
225.9211,270.8295
224.1389,273.7425
226.1051,270.7521
227.0231,269.4443
224.6727,272.0258
226.454,268.2635
226.7202,265.084
231.031,261.5781
229.0272,264.2399
228.3582,264.8975
230.3466,262.3025
227.5898,263.8215
227.4504,265.1672
228.6819,261.0716
231.7655,255.3211
231.7242,258.2792
229.2909,259.6727
233.3915,259.1309
232.031,260.2141
231.5928,258.1035
233.4199,258.1698
233.4349,257.7899
265.4454,271.915
288.2941,282.3907
296.5099,272.8674
294.8452,273.1191
296.6414,273.7039
296.7542,272.7514
299.0179,272.9395
291.6055,274.3841
295.1964,276.6729
294.4647,277.2031
289.203,287.7842
287.0513,289.3212
284.1699,292.2507
281.4976,301.7224
253.1726,364.7127
253.6337,361.3351
256.174,354.5507
257.4731,353.7183
258.3729,351.3076
258.4247,349.4242
255.1298,348.2756
263.03,345.0042
258.0289,346.8609
258.7209,346.0472
255.0334,347.4988
261.6267,340.1227
259.3093,345.6761
257.2085,349.0337
259.196,346.361
258.7202,344.4951
257.4718,344.1312
260.1099,340.299
260.3705,342.7349
263.9037,338.2643
262.2891,336.6794
268.2583,334.9296
267.9996,333.4177
266.4858,329.883
269.415,329.8671
264.896,327.3275
267.38,328.946
267.1532,325.9576
268.8279,326.218
266.0691,331.1862
243.0206,252.834
224.3834,228.8169
224.2661,228.0333
225.3533,229.5816
229.5546,227.6541
227.7557,227.8739
230.0253,227.7239
231.2891,227.9286
225.0742,229.7996
192.2151,250.8629
190.9663,250.6054
191.5449,253.8795
193.2357,252.5974
192.1503,251.8257
193.6918,252.3323
193.4425,250.6633
194.2769,250.8521
195.4279,251.6345
177.6575,317.4197
163.0486,351.8308
164.627,348.5826
167.212,345.821
168.7683,342.912
172.5737,341.9846
176.9722,331.3815
168.8143,340.9322
174.7915,335.2599
169.7013,342.1403
170.7152,343.6771
170.8486,343.5541
174.2366,341.8166
171.6299,342.3113
193.2534,249.1523
198.5299,224.5695
201.7716,222.5134
201.0023,226.9467
202.4254,226.3107
202.354,226.7183
202.0433,227.3929
202.4727,226.2628
204.332,227.5912
196.3339,227.3374
183.6583,225.0494
185.5777,222.8495
186.41,220.4429
187.8006,218.2787
188.5027,215.5405
191.2233,211.8951
231.9429,184.7043
238.4148,175.4061
241.9193,172.8958
243.0446,171.2285
244.3893,173.8441
244.173,174.4133
244.5323,172.9628
243.6187,172.6161
276.0308,255.5894
252.49,333.9768
257.6229,327.6917
260.0483,319.95
263.474,319.343
264.504,318.4395
266.4633,317.3619
269.9009,312.7078
268.3761,316.9076
267.9948,312.0466
269.0173,312.1464
271.1104,314.0475
269.2585,313.2448
274.8756,309.9281
274.5693,310.3254
271.2416,309.8729
277.708,307.226
277.3439,311.0257
250.5377,306.4199
184.2637,253.6074
168.7566,244.0961
176.1331,228.875
180.9207,221.7321
185.6804,221.77
186.4144,219.9524
188.1534,221.1889
191.1757,222.1085
263.3281,238.0186
281.5697,231.7892
267.7222,229.8124
261.7955,229.3012
268.9012,219.6915
269.1969,222.0767
271.016,221.7404
273.1143,221.2723
272.7424,220.4385
272.9987,222.2454
275.4655,221.2147
274.3413,220.748
273.6567,222.5505
282.655,241.5206
268.0471,318.7048
279.8873,303.9809
283.9963,300.1467
283.0092,295.3627
284.6873,293.7086
287.5717,292.9937
287.5254,291.1829
290.5629,290.7324
290.2539,289.4222
286.3243,289.1228
291.5699,288.9227
289.0205,289.3317
289.8749,288.0713
290.4224,288.1784
290.6133,282.6617
287.8228,282.1572
291.9313,282.5695
293.7792,279.0095
287.2659,285.3892
290.9211,282.0749
293.8585,280.7637
292.3307,279.3361
290.7081,280.6193
291.907,281.6389
290.4213,281.7562
289.5824,282.8046
289.4579,279.9758
287.4247,280.968
292.1888,278.6934
289.2263,280.7427
289.7937,282.6542
288.4463,283.9963
287.7512,280.205
291.1012,279.9194
289.9265,279.1666
290.9172,279.7234
287.9307,281.7889
290.7781,280.1872
289.2538,280.7072
285.6514,283.1522
286.5179,281.6489
291.0942,281.4871
287.538,286.1813
285.4192,287.2205
288.0043,282.4008
287.5165,283.4966
287.1747,282.4749
285.3877,285.702
283.791,288.6815
283.5942,285.4111
283.3619,290.0283
282.8578,254.0524
NaN,NaN
NaN,NaN
NaN,NaN
231.5049,255.3516
226.027,258.5659
222.0225,251.9188
230.5919,243.2638
237.7635,242.149
241.8435,247.0008
239.4603,247.1521
247.42,243.9332
250.9297,242.2975
251.0554,244.951
247.3607,245.5826
250.1007,247.2701
252.1671,245.309
255.5044,245.3712
258.5607,245.1768
261.3765,243.1095
258.1599,246.897
259.287,247.7066
261.6121,245.3619
265.7606,243.778
264.7325,243.5942
265.4729,247.1349
265.5269,249.9879
266.1934,249.9615
266.6699,244.3306
267.5465,248.6312
268.2834,248.191
269.2809,248.442
268.9265,246.6235
269.7057,247.733
269.7384,247.2858
271.067,245.8514
269.2194,245.2903
273.1936,243.9243
271.9835,244.3821
273.5786,239.8998
268.4581,244.3376
270.0498,243.7401
270.084,245.3976
269.9629,245.5278
268.5508,247.84
